rank,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country,engagement_efficiency,likes_per_post_check
64,anitta,82,5100.0,63100000.0,855500.0,0.69,426200.0,4400000000.0,United States,0.013557844690966719,862745.0980392157
65,sooyaaa__,82,830.0,62900000.0,4500000.0,9.43,5900000.0,3800000000.0,Unknown,0.07154213036565978,4578313.253012048
66,maluma,84,8200.0,62800000.0,1200000.0,1.12,696300.0,9800000000.0,Colombia,0.01910828025477707,1195121.9512195121
67,akshaykumar,85,1900.0,62800000.0,1500000.0,1.01,624900.0,2900000000.0,Unknown,0.02388535031847134,1526315.7894736843
68,jacquelinef143,85,2400.0,62700000.0,1100000.0,1.15,718800.0,2800000000.0,India,0.017543859649122806,1166666.6666666667
69,psg,86,10000.0,61900000.0,500500.0,0.52,322200.0,5000000000.0,France,0.00808562197092084,500000.0
70,roses_are_rosie,82,820.0,61800000.0,4600000.0,9.72,6000000.0,3800000000.0,Unknown,0.0744336569579288,4634146.341463415
71,manchesterunited,85,9900.0,59600000.0,381800.0,0.41,241600.0,3800000000.0,United Kingdom,0.006406040268456376,383838.38383838383
72,anushkasharma,85,1200.0,59500000.0,1900000.0,2.34,1400000.0,2200000000.0,Unknown,0.031932773109243695,1833333.3333333333
73,whinderssonnunes,79,2700.0,58700000.0,1600000.0,0.58,323100.0,4400000000.0,Brazil,0.027257240204429302,1629629.6296296297
74,9gag,86,10000.0,58100000.0,672600.0,0.44,248600.0,6700000000.0,United States,0.01157659208261618,670000.0
75,marcelotwelve,86,2700.0,58100000.0,690900.0,0.78,448300.0,1900000000.0,Brazil,0.01189156626506024,703703.7037037037
76,milliebobbybrown,80,280.0,57600000.0,4000000.0,8.63,5000000.0,1100000000.0,United States,0.06944444444444445,3928571.4285714286
77,karimbenzema,42,2000.0,56900000.0,878500.0,1.62,918900.0,1800000000.0,Spain,0.015439367311072056,900000.0
78,chrishemsworth,86,880.0,55900000.0,2800000.0,3.69,2100000.0,2500000000.0,Australia,0.05008944543828265,2840909.090909091
79,karolg,83,3300.0,55600000.0,3100000.0,10.25,5700000.0,10100000000.0,India,0.05575539568345324,3060606.0606060605
80,paulpogba,80,1300.0,55200000.0,1400000.0,0.85,462600.0,1800000000.0,France,0.025362318840579712,1384615.3846153845
81,iamzlatanibrahimovic,86,870.0,55100000.0,1500000.0,1.53,837100.0,1300000000.0,Unknown,0.02722323049001815,1494252.8735632184
82,leonardodicaprio,86,1700.0,54600000.0,395500.0,0.2,107600.0,669300000.0,Unknown,0.0072435897435897435,393705.8823529412
83,juventus,87,10000.0,54500000.0,194800.0,0.25,135500.0,1900000000.0,Unknown,0.0035743119266055047,190000.0
84,zacefron,86,660.0,54500000.0,2300000.0,8.18,4400000.0,1500000000.0,United States,0.04220183486238532,2272727.272727273
85,bellahadid,79,3200.0,54100000.0,1100000.0,2.06,1100000.0,3600000000.0,United Kingdom,0.02033271719038817,1125000.0
86,tatawerneck,86,5600.0,53900000.0,959800.0,0.51,266500.0,5400000000.0,Brazil,0.017807050092764377,964285.7142857143
87,beingsalmankhan,76,1200.0,53500000.0,1400000.0,1.33,693900.0,1600000000.0,India,0.026168224299065422,1333333.3333333333
88,robertdowneyjr,86,420.0,53400000.0,3000000.0,2.05,1100000.0,1300000000.0,United States,0.056179775280898875,3095238.095238095
89,sunnyleone,84,4600.0,53400000.0,764000.0,0.57,301300.0,3500000000.0,Unknown,0.014307116104868914,760869.5652173914
90,ladygaga,83,3600.0,53200000.0,1400000.0,1.02,531600.0,5100000000.0,United States,0.02631578947368421,1416666.6666666667
91,dishapatani,74,2100.0,53000000.0,1600000.0,1.85,971700.0,3400000000.0,United States,0.03018867924528302,1619047.619047619
92,sergioramos,87,2200.0,52800000.0,1100000.0,1.06,557900.0,2500000000.0,Unknown,0.020833333333333332,1136363.6363636365
93,jbalvin,87,10000.0,52800000.0,878000.0,0.66,340500.0,8800000000.0,Unknown,0.01662878787878788,880000.0
94,mosalah,22,840.0,52500000.0,1800000.0,2.18,1100000.0,1500000000.0,Unknown,0.03428571428571429,1785714.2857142857
95,ayutingting92,85,10000.0,52400000.0,147300.0,0.11,56300.0,1500000000.0,Indonesia,0.0028110687022900763,150000.0
96,433,79,10300.0,51200000.0,863200.0,1.52,774200.0,8900000000.0,Netherlands,0.016859375,864077.6699029126
97,hudabeauty,82,2400.0,50800000.0,186400.0,0.04,16800.0,453600000.0,United States,0.003669291338582677,189000.0
98,adele,84,420.0,50700000.0,4700000.0,3.82,1900000.0,2000000000.0,United States,0.09270216962524655,4761904.761904762
99,michelleobama,85,600.0,50700000.0,700500.0,1.22,611200.0,421700000.0,Unknown,0.013816568047337278,702833.3333333334
100,kritisanon,76,2700.0,50200000.0,897200.0,1.21,604400.0,2400000000.0,India,0.017872509960159363,888888.8888888889
101,jamesrodriguez10,86,1100.0,49900000.0,1400000.0,0.75,363900.0,1500000000.0,Colombia,0.028056112224448898,1363636.3636363635
102,krisjenner,80,6400.0,49700000.0,356800.0,0.91,452900.0,2300000000.0,United States,0.007179074446680081,359375.0
103,thv,83,60.0,49300000.0,15400000.0,25.8,12600000.0,987400000.0,Unknown,0.31237322515212984,16456666.666666666
104,lelepons,81,2500.0,49200000.0,2400000.0,3.55,1700000.0,6100000000.0,United States,0.04878048780487805,2440000.0
105,charlidamelio,80,150.0,49100000.0,4200000.0,3.28,1600000.0,654400000.0,Unknown,0.0855397148676171,4362666.666666667
106,gucci,86,8900.0,49000000.0,115100.0,0.15,72400.0,1000000000.0,Italy,0.0023489795918367347,112359.55056179775
